token,lisa
abandon,0.04989490695527279
aberration,0.0036869647111682727
ability,-0.020338321062783535
able,0.035349504568385995
abovementioned,0.015631362538348872
absence,0.02246381917307472
absolute,0.11714589036122842
absolutely,-0.005594906463977115
abstraction,-0.007676060227871416
abundance,-0.005955370845087842
academy,0.045302412219829655
acceleration,0.24256108016430267
accept,-0.0350524449981307
accessible,0.0358559264328157
accomplish,0.011802588068761072
accord,0.09887365125636179
accordance,-0.01797833248832035
accordingly,-0.028706068227173184
account,0.007957075798250278
accurately,0.021465318881990842
accustom,0.009102031601078097
accustomed,0.031221765205145604
achieve,0.002638794533001635
acquire,0.019008558835894494
acquires,-0.01219105144397454
action,0.5526165165741066
activity,0.0015236326390235142
actual,0.12358507571217514
acute,0.002884411225060593
adapt,0.016518534256431572
add,0.04182697212405969
addition,-0.007987736931779977
address,0.02600387900544543
adduce,0.014657307046570322
adjacent,0.03597426860637936
adjoin,0.020686283318338508
admirably,-0.0038311462241781497
admit,-0.020386133404304913
admittedly,0.03151618321017097
advance,0.02001676278108257
advocate,0.02316753681597532
aeterni,0.02494666966065638
affirmation,0.055561700793261816
afford,0.008854050239778187
affords,-0.00536336855713145
age,0.015613288836713387
agitate,0.0002356892666116718
agree,-0.05625725441756465
agreement,0.02208343413858097
aim,0.007563115374741999
air,0.014462586446807675
allow,0.07393030992176318
almost,-0.0024211952015085227
alone,-0.04755324706709264
along,-0.013779495110616519
alongside,-0.03869917839401041
already,0.015883592489469085
also,0.14122772217429114
alters,0.038095884158746963
although,0.05250498401414006
always,0.018395051319359694
ambiguity,-0.01566766318741691
amenable,-0.0022242737999300034
among,0.020305570553653046
analogous,-0.04772749235701239
ancient,0.0174466051320122
another,0.14899947577104491
answer,0.37732134196982586
anxious,-0.030993291834003678
anything,0.029160870376315016
anywhere,0.22335178093878483
apparently,0.02687749578297991
appear,0.0018655184118527152
appertaining,-0.0006924582159322899
apply,0.07948961223497925
approach,-0.03024496286937664
appropriate,0.01839670236773496
approximately,-0.0005207873965133829
approximates,0.008362842279235802
aptly,-0.003702837675244808
arbitrarily,-0.008756039571909789
argument,0.0202424898354699
around,0.0566944419062741
arrangement,-0.012508137601530793
arrive,-0.03868274647602483
ascribe,0.04003245991645948
ask,0.029955691271196846
aspect,-0.008754917055664608
assert,-0.026063185878104692
assertion,0.07150942516187156
assign,-0.03363608158118493
assigns,0.00021398935421168728
associate,0.008164244801567664
assume,0.03857899384172474
assumption,0.1173855285742455
astronomer,-0.003719078758987641
astronomical,0.010480149725516516
astronomy,0.009663930345870778
asymmetry,0.03844617723382551
atom,0.025574121956336786
attach,0.011261498964179857
attain,0.02683362317055268
attempt,0.07941363898858034
attention,-0.0055139777957540145
attraction,0.04738725842906251
average,0.017108293947825447
avoid,-0.008977967544663755
away,0.26738592815949297
axiom,0.5259875736703985
axiomatic,0.4533816920149778
axiomatics,0.282906084666145
axioms,0.23356303642839735
back,-0.009350005281856678
barrier,0.001548092036168563
base,0.026272772649310806
bear,0.002624356906823189
bearer,0.15118650492059493
become,-0.002891368820880873
behave,0.02338470890325066
behaviour,0.10338139648309189
behind,0.061069619356960564
believe,0.017161240907198998
belong,-0.01941046190455108
berlin,0.011838208627078916
beside,0.05712000508737229
besides,-0.0003798707716380424
better,0.006019363975569852
beyond,0.004569749849837175
big,0.12047963002670448
bind,-0.0171489096893336
body,0.736404828768424
boggles,0.023713038177743707
book,0.034276379202374994
bound,0.007399233156683834
boundaries,0.03171621635284184
boundary,0.14481671101640894
branch,-0.027805307014137876
break,-0.015293457457670858
briefly,0.026837852595681378
bring,0.05927588793408113
brought,0.016071392632862686
calculate,0.03423563317043843
calculated,0.07049124184094288
call,-0.11857725716576148
capable,0.046547057302904996
capitulate,-0.027844793647287473
cardboard,0.06749587774939869
career,-0.009784650378966668
careful,-0.006541375947051408
carefully,0.009930682070976546
carry,0.01952590591367731
case,-0.04359035707480687
causal,-0.0071710618004775665
causally,0.015274655557531656
cause,-0.01284908187870722
century,0.018003837553159655
certain,0.10192606536832602
certainly,-0.060597372244824636
change,0.004904323445900258
character,0.016687447826535435
characterise,0.017025424121490315
characteristic,-0.07816027080120164
characterize,0.0008035297692438108
charge,0.046818244492053775
chemical,0.0031225489848689635
choose,0.01047243928629294
circle,0.08718149774866032
clarify,0.020556447554575193
class,0.005757043247999725
clear,-0.02555972953020912
clearness,0.016184397990100265
clock,0.10610553278004523
close,-0.0047778048256825155
clumsy,0.03526200295411302
coincide,0.039162562127004474
collaboration,0.0019772509921380335
collapse,0.0063478759975674655
combination,-0.0047565562997781315
combustion,-0.0017282607603497505
come,-0.002624407031554491
common,0.0023985217251087263
communication,0.015529561347161477
compare,0.0013278363511305506
comparison,-0.011773291284108967
compel,0.024580660145459066
complete,0.023756657172018737
completely,0.008751058713136478
complicate,-0.011918856318564227
compose,-0.00460200393183408
composed,0.008190446355452866
composite,0.0035279604840911206
comprehend,-0.011603236222109306
comprehension,-0.004164212514311696
comprise,-0.021255531600465817
conceivability,-0.012280123783677679
conceivable,-0.029153504303886333
conceive,0.011992767430659218
concentrate,-0.022409936815921034
concept,0.20158091179026016
conception,-0.020654028615673836
conceptual,0.10259112640029035
conceptually,0.0003201420361442567
concern,0.0007280408024484246
concerned,0.001976397977385853
conclusion,0.02680607526576106
conclusive,-0.005447514828693252
condensation,0.017551855082619788
condition,0.10922527504261947
confer,-0.027466433235751587
confidence,0.005919344490338883
configuration,0.05613477431301363
configurative,0.0021553308688019436
confine,0.014623027642700686
confirm,0.002363381123147507
conflict,0.04742936245328731
conformation,-0.03429163384085547
confront,0.009349486633329742
connect,0.023971080907318434
connection,-0.004150876593099184
conscious,0.015526596696302242
consequence,-0.0026775517824540913
consequently,0.01282942696709733
consider,0.03961912158659805
consideration,0.03425110756770809
consist,0.042604547756050694
constant,-0.013862090250451209
constantly,0.004319508409742247
constitute,0.01689439615024731
constitution,0.0004762584877235121
construction,0.10716181548027959
contact,0.15151017803224964
contain,-0.004546287231973608
contains,-0.026449582948103106
contemplate,0.017391279346238058
contemporary,0.022401730539260856
content,0.10183937496195769
continuum,0.14598557966977285
contraction,0.018365444341613153
contradiction,0.011864569018129439
contradictory,0.033815769975240904
contrast,-0.05199439935721589
control,-0.01669742941453616
convention,0.021584134436974926
conventional,-0.03248979677074397
conversely,-0.0018045919214778445
convey,-0.0017904627788066399
conviction,0.006952976759487995
convince,0.016581677169433637
convinced,0.03127663274519434
coordinate,0.08410147582565364
coordination,0.005007411733884281
corporeal,0.0026804360752876745
correspond,0.0066382276225408834
correspondence,-0.0032930468566203346
cosmic,0.0591407465570149
could,0.11020858689317732
course,0.059867810302571184
covariant,0.03418155722791494
creation,0.01576536641268029
creature,0.01373382437106026
cry,0.022548767624414847
cube,0.07142519509022399
customary,0.012240293109446982
daily,0.03459287297876645
danger,0.041836143342112476
debatable,-0.006167766807738986
decide,-0.036780548840190316
decidedly,0.015717173380920477
decisive,0.005675937834115773
deduce,0.020290019905042027
defect,0.0039789716391054036
define,0.07236709195039491
definite,-0.0006186893463791495
definitely,-0.02603332996022009
definition,0.06806548050382434
deformation,0.02189893541989016
deliver,-0.015354876746150194
demonstrates,0.007675250593562132
denote,0.01681524608145636
density,0.27405703560922606
deny,0.041777278517432834
depart,-0.051827718991960356
department,0.026004706574504575
departs,-0.025141960133706717
departure,-0.05757717019515112
depend,0.010876191198620069
depress,0.0021557343886764745
deprive,0.011692089950789918
depth,0.01038509499998605
derive,0.008658896585914433
describe,0.08734295538136974
desire,0.06718406342071172
destroyed,-0.017679080117558824
detect,0.015302186120517045
determine,-0.009608328393960076
determined,-0.0064952523953652145
determines,0.010253707753070617
development,0.08622551161518144
deviation,0.14566957723042867
devoid,0.006423636080038174
devote,0.0023327335747901816
diametrically,0.007991554399589141
differ,-0.0013858548679154268
difference,0.011400335903549127
different,-0.014402495935049083
differential,0.010701219286413221
differing,-0.00617972770801228
differs,1.1778776754612502e-05
difficult,0.02580218639254378
difficulty,0.024152782678459227
dimension,0.2503518870231203
diminish,0.0039189873403907725
direction,0.003910734478277632
directly,-0.013178806108037757
disc,2.177210692382533
discomfort,0.041865017187656596
discover,-0.0026782770018476884
discs,0.1775624386149619
dispels,0.010443749629398815
dispose,-0.007227571546955249
disposition,-0.16133537791661712
disregarding,-0.007502308574225347
distance,0.21460184128053625
distant,0.0497281063465473
distinguish,0.010315956852887304
distribute,0.034674275605253296
distribution,0.04500632902042059
doctrine,0.011708373492404386
domain,-0.013121535199979967
downright,0.02027360359677168
draw,0.020084261921677372
dualism,0.05639938833761575
dynamic,-0.010379788324997193
e,0.6021815913307722
earth,-0.018359688967800557
easily,-0.008977578340158499
edifice,0.03429047459026574
effect,0.06941457906177495
effort,0.035855154907288446
eg,-0.00944779718263657
either,0.005799746054438248
elaborate,0.04180417173481575
elastic,0.0373770925442366
electric,0.09128771124336142
electrical,-0.014448907013291453
electricity,0.05287162253395071
electrodynamical,0.039231827784521056
electromagnetic,1.3712063965194496
element,0.013879037139844171
elementary,-0.005802771436308746
elliptical,0.01983596789136263
else,-0.0036361008959845224
employ,-0.003392603582842879
empty,-0.036142957875895394
enable,-0.01951719749740816
enclose,0.05200772998544637
endeavour,-0.012288654312100697
