file,n_token,n_type,n_sent,n_groups,mean_seq_len,mean_seq_sent_len
10037144_pp.txt,841,370,33,7,120.14285714285714,4.714285714285714
1057453_pp.txt,632,289,37,6,105.33333333333333,6.166666666666667
10648433_pp.txt,355,157,23,3,118.33333333333333,7.666666666666667
1064845_pp.txt,611,310,26,4,152.75,6.5
109461_pp.txt,330,127,22,3,110.0,7.333333333333333
111174_pp.txt,979,389,53,4,244.75,13.25
1198312_pp.txt,323,185,16,4,80.75,4.0
123319_pp.txt,576,178,40,5,115.2,8.0
12720971_pp.txt,347,175,15,3,115.66666666666667,5.0
1276536_pp.txt,1682,514,97,7,240.28571428571428,13.857142857142858
149766_pp.txt,1080,445,50,10,108.0,5.0
1928841_pp.txt,1298,523,66,6,216.33333333333334,11.0
2025011_pp.txt,1152,492,40,8,144.0,5.0
2070518_pp.txt,7239,1668,385,59,122.69491525423729,6.52542372881356
2640796_pp.txt,714,328,43,6,119.0,7.166666666666667
2651177_pp.txt,325,165,18,4,81.25,4.5
28187_pp.txt,4084,973,170,19,214.94736842105263,8.947368421052632
2842974_pp.txt,507,241,35,9,56.333333333333336,3.888888888888889
2917712_pp.txt,2672,699,132,6,445.3333333333333,22.0
2952485_pp.txt,1614,692,69,6,269.0,11.5
31444_pp.txt,918,401,37,4,229.5,9.25
32431_pp.txt,3443,1127,197,22,156.5,8.954545454545455
3275069_pp.txt,406,170,24,3,135.33333333333334,8.0
3384438_pp.txt,213,142,12,3,71.0,4.0
338825_pp.txt,5652,1781,233,37,152.75675675675674,6.297297297297297
3475652_pp.txt,2244,651,113,11,204.0,10.272727272727273
380143_pp.txt,1213,524,50,6,202.16666666666666,8.333333333333334
3881783_pp.txt,491,203,27,3,163.66666666666666,9.0
4074782_pp.txt,193,121,12,3,64.33333333333333,4.0
426889_pp.txt,1513,479,71,6,252.16666666666666,11.833333333333334
44426_pp.txt,518,169,22,4,129.5,5.5
4823815_pp.txt,683,351,27,4,170.75,6.75
5160544_pp.txt,849,391,50,8,106.125,6.25
582816_pp.txt,533,279,31,6,88.83333333333333,5.166666666666667
599217_pp.txt,900,373,44,3,300.0,14.666666666666666
6146176_pp.txt,2188,756,89,8,273.5,11.125
6261767_pp.txt,671,247,33,6,111.83333333333333,5.5
6540154_pp.txt,171,116,10,4,42.75,2.5
6544206_pp.txt,764,324,32,5,152.8,6.4
7150404_pp.txt,514,223,26,4,128.5,6.5
7370490_pp.txt,123,62,6,3,41.0,2.0
7445232_pp.txt,244,121,12,3,81.33333333333333,4.0
751683_pp.txt,496,215,19,3,165.33333333333334,6.333333333333333
7674758_pp.txt,353,196,18,3,117.66666666666667,6.0
8718322_pp.txt,2428,718,122,13,186.76923076923077,9.384615384615385
910628_pp.txt,888,431,35,4,222.0,8.75
9387798_pp.txt,1282,477,50,7,183.14285714285714,7.142857142857143
961796_pp.txt,2011,785,76,5,402.2,15.2
9652769_pp.txt,440,200,21,4,110.0,5.25
988580_pp.txt,2865,789,149,10,286.5,14.9
Mean_values,739.0,339.5,36.0,5.0,139.66666666666669,6.63771186440678
