token,id,G1,G2,G3,G4
metamorphosis,1,0.033203023082253175,0.01601266428883269,0.9507229696846208,6.134294429343135e-05
gregor,2,0.021117663512181733,0.03924503088710237,0.9396296077948435,7.697805872409792e-06
samsa,3,0.021952536288609967,0.02584185661697551,0.9520327503879498,0.00017285670646478575
woke,4,0.006945082886999102,0.06671606054852891,0.9263292095464722,9.64701799985294e-06
troubled,5,0.017877442541034648,0.06491897103165815,0.9171996382543887,3.94817291848487e-06
found,6,0.03161134179166417,0.04845340167564581,0.9195542774875894,0.00038097904510064147
transformed,7,0.04379614580876424,0.03724155956013668,0.9189233584059713,3.893622512780668e-05
bed,8,0.009227596125647781,0.017628543325672673,0.9730498915591562,9.396898952336916e-05
horrible,9,0.017520928903384563,0.06266874363721611,0.9198095495163076,7.779430916456359e-07
lay,10,0.0230749870713596,0.06094685898105038,0.9156113696869518,0.0003667842606381561
lifted,11,0.027552851672136364,0.07132965416926577,0.9011173494719364,1.446866613421247e-07
head,12,0.020196573938779935,0.034064062840341656,0.9456427686989917,9.659452188672064e-05
little,13,0.01026248200496841,0.029382897968743413,0.960299719396962,5.4900629326233825e-05
see,14,0.06497766126132286,0.09654348934989243,0.8369187866688936,0.001560062719891062
brown,15,0.008854290111135093,0.017158754253025328,0.9739488026740853,3.8152961754062996e-05
slightly,16,0.03235780360951533,0.03527607797008642,0.9322119742374765,0.0001541441829218063
domed,17,0.02298391978610502,0.017665768010976166,0.9591766598978857,0.00017365230503308952
divided,18,0.08669030341129551,0.055840964483057136,0.8569564093649326,0.0005123227407148434
arch,19,0.025789766192747636,0.02950773002247116,0.9442170250431229,0.0004854787416582955
stiff,20,0.036551521995475005,0.08229381050452192,0.8811340163924478,2.0651107555349134e-05
bedding,21,0.06102527190825513,0.056236403569396534,0.882630546181686,0.000107778340662356
wa,22,0.04333646003613659,0.1372311086464987,0.8182369530016654,0.0011954783156993844
hardly,23,0.07742442381041188,0.41859115202575975,0.5038732207481702,0.00011120341565817297
able,24,0.11052697793103916,0.6519100851374745,0.23756243608072594,5.008507603140729e-07
cover,25,0.09881004449932859,0.2676663849413647,0.6333688199331285,0.00015475062617812446
seemed,26,0.0938356541881761,0.7050652331557149,0.20085914973116714,0.00023996292494188505
ready,27,0.05569992524458838,0.7171255424167793,0.22715695614437445,1.7576194257994038e-05
slide,28,0.1637448338372239,0.343115746476796,0.4930768336083688,6.258607761122497e-05
many,29,0.18218540747003575,0.5773824992731774,0.24027307253945154,0.00015902071733520665
pitifully,30,0.10394164018729465,0.6794788625675559,0.21652749979887737,5.1997446272098544e-05
thin,31,0.23505545356928384,0.29335204027510214,0.4711900054250804,0.00040250073053355
compared,32,0.28887713588615366,0.49617563590298236,0.21457487200790476,0.0003723562029592203
size,33,0.36848906829300937,0.3177839185568641,0.31345292318913687,0.000274089960989554
rest,34,0.15314708859705917,0.5813862367829737,0.26529272383565317,0.00017395078431392771
waved,35,0.05486780828352721,0.5878005512643514,0.3572379031593882,9.373729273317985e-05
about,36,0.1582654692973164,0.5612520535761313,0.278684405763925,0.0017980713626273633
helplessly,37,0.09343806882911398,0.5838282696234595,0.3227141045440256,1.95570034010173e-05
proper,38,0.35343466257064826,0.35163402348219497,0.2938223759267736,0.0011089380203830994
human,39,0.404545340111884,0.27029372449060995,0.3246325054201464,0.0005284299773597085
room,40,0.073126880320647,0.18997333329970148,0.7368104508922945,8.933548735723738e-05
little,41,0.045155777361671666,0.17304370911007066,0.7816193623688752,0.0001811511593823791
too,42,0.07404421372116407,0.3549864101371901,0.5709395228730041,2.9853268641556375e-05
lay,43,0.06358626140615803,0.20543520655526412,0.7301644891174998,0.0008140429210780928
peacefully,44,0.0578775271910582,0.291657784080533,0.650462432550748,2.2561776609311894e-06
familiar,45,0.08564944023313845,0.09613293886455251,0.818199321693058,1.8299209251160245e-05
collection,46,0.05283718681894905,0.03254940556159702,0.9145203616709945,9.304594845955395e-05
textile,47,0.04107506028460904,0.02826654484732958,0.9304271308442398,0.00023126402382171846
sample,48,0.08761830761026948,0.041367187839424495,0.8708093802844897,0.00020512426581629784
lay,49,0.029315309482755087,0.07666272727948288,0.8935863704442505,0.0004355927935115665
spread,50,0.06378956169019269,0.04660870965127647,0.8895402829307201,6.144572781084105e-05
table,51,0.028588963638782307,0.021340524525950633,0.9498667098016407,0.0002038020336264861
samsa,52,0.024121933772181425,0.027793056732194284,0.94790099535433,0.00018401414129406594
wa,53,0.014410381358908545,0.028795522654985046,0.9563476830405087,0.0004464129455976953
travelling,54,0.02007579200288968,0.039414576827099534,0.9404884306993029,2.1200470707791155e-05
salesman,55,0.01693915708496595,0.027993654218806615,0.9550267598494505,4.0428846777053566e-05
there,56,0.03677122411896924,0.05017148813699921,0.9128388029602117,0.00021848478381998262
hung,57,0.00602349542511982,0.022207103640504697,0.9717649495403349,4.451394040599229e-06
picture,58,0.017427000114921824,0.01717563144100657,0.9653411927947558,5.6175649315925534e-05
had,59,0.022280976092113602,0.10814808797044377,0.869139761919222,0.0004311740182205269
recently,60,0.02474639074155305,0.054318974931450756,0.920530959349726,0.00040367497727009154
cut,61,0.009722928333338396,0.03282034878463016,0.9574519624168057,4.7604652257845956e-06
illustrated,62,0.013744771105216425,0.0107271650066178,0.9754747406048163,5.3323283349434056e-05
magazine,63,0.020407974830748604,0.02100049341221581,0.9585047571943345,8.677456270119862e-05
housed,64,0.024951760520380145,0.023468912402293183,0.9510199894669158,0.0005593376104108547
gilded,65,0.007429255438691665,0.007282260527188728,0.9852845856000947,3.898434024846583e-06
showed,66,0.04689844457574804,0.05567726923009269,0.8972211317326168,0.00020315446154251337
lady,67,0.006566683412681736,0.027421204358947848,0.9659761039671547,3.6008261215673025e-05
fitted,68,0.024631403119987266,0.022908613121919462,0.9524583548723898,1.6288857033408627e-06
fur,69,0.011280425638414623,0.014499570909320086,0.9742041524194578,1.5851032807467204e-05
hat,70,0.006705664379677588,0.01592752997780172,0.9773281562939551,3.86493485654734e-05
fur,71,0.011329854304415498,0.014575746418470203,0.9740784915460531,1.5907731061170736e-05
boa,72,0.008855152853338379,0.01672550546783891,0.9743190737054434,0.00010026797337941796
sat,73,0.012944753784145202,0.0383550301011569,0.9486449995253567,5.52165893412193e-05
raising,74,0.04353993165432375,0.052875211906453744,0.9034957217999908,8.913463923179777e-05
heavy,75,0.026324622635071376,0.026461101134814986,0.9471763881038696,3.7888126244063537e-05
fur,76,0.012305472042889015,0.015939510345786383,0.9717380374647017,1.698014662296113e-05
muff,77,0.010812617023459927,0.02077699872544224,0.968362809956628,4.7574294469792025e-05
covered,78,0.01184480629017384,0.015727645394084496,0.9722817376788234,0.00014581063691826128
whole,79,0.041383370298666886,0.04920824312725396,0.9093128679595893,9.551861448969016e-05
lower,80,0.05136188504762686,0.035983387693789504,0.9118428559950695,0.0008118712635140662
arm,81,0.04766795268593936,0.057072870410709534,0.8950309323438966,0.00022824455945462865
gregor,82,0.028818328709946512,0.05994469913681904,0.9112268285867736,1.0143566460951716e-05
then,83,0.03743578738193426,0.13450782485002408,0.8280122253811725,4.416238686920209e-05
turned,84,0.022645871202075393,0.13240226558631868,0.8449325796459856,1.9283565620430787e-05
look,85,0.0317988964093006,0.14004041888465402,0.8281210052971509,3.967940889431225e-05
window,86,0.02933720996525774,0.04831963177537015,0.922284625184785,5.853307458713368e-05
dull,87,0.042857884443472986,0.1160688556293581,0.8409453387862248,0.00012792114094415378
drop,88,0.07182077833824943,0.2987318362029428,0.6293415079309594,0.00010587752784825191
rain,89,0.0401199462228421,0.23020157606076888,0.7295443601294324,0.00013411758695659406
be,90,0.15436827797239716,0.6416668994650625,0.1874272573254152,0.01653756523712509
heard,91,0.04429135376224265,0.7751540503942584,0.1805403842317179,1.4211611781069125e-05
hitting,92,0.05213159784351238,0.6508682718714198,0.29697713715932883,2.299312573899185e-05
made,93,0.06511812366119132,0.8114082422765836,0.12342604372865694,4.759033356808611e-05
feel,94,0.04808024599217201,0.8985667609322251,0.05323003453350743,0.00012295854209549832
quite,95,0.07567205862987311,0.8526490456115802,0.07111326270454567,0.0005656330540010668
sleep,96,0.05757520076352386,0.868017892075021,0.07430172735905508,0.00010517980239994415
little,97,0.0440858050690398,0.834082978268695,0.12161431707557291,0.0002168995866923144
bit,98,0.08763303936776597,0.8300603035800619,0.08202876040990131,0.0002778966422706551
longer,99,0.0704248678499183,0.8990699559573321,0.03012216224503141,0.00038301394771813983
forget,100,0.017410538101915677,0.9586143158174266,0.02394786869754354,2.7277383114174242e-05
wa,101,0.057903411296570395,0.8487433848281691,0.09171741388404267,0.001635789991217665
something,102,0.04457851379484252,0.9291155803376707,0.02628238253392072,2.352333356580859e-05
wa,103,0.06120409363933332,0.8450863144251827,0.09204202081602471,0.0016675711194592032
unable,104,0.0327215788586796,0.9540967488864948,0.013181601091928483,7.116289711744507e-08
do,105,0.0543386907196589,0.9255858030990043,0.01959834893846887,0.0004771572428680313
wa,106,0.07554503882003988,0.8210259455218124,0.10160935900494063,0.0018196566532070813
used,107,0.22607819389036068,0.7221834300345076,0.0513476040126731,0.00039077206245858995
sleeping,108,0.06485616133137523,0.7953822138175995,0.1397185209143692,4.310393665612857e-05
present,109,0.18581153993014568,0.7392744054024101,0.07381774890830833,0.001096305759135966
state,110,0.2659073635652882,0.6785099949549909,0.05446001155630826,0.0011226299234127627
get,111,0.06801312330385993,0.9017672320780205,0.03001711179525099,0.00020253282286867354
inaugural,112,0.25647302228627794,0.6432490876171217,0.100277332156195,5.579404053169543e-07
stated,113,0.23716277573082825,0.7362600506725874,0.026546890621897787,3.0282974686507448e-05
holding,114,0.36166819747168116,0.5493481343914771,0.08825080139461565,0.000732866742226107
professorship,115,0.7614322335831384,0.2009179661870878,0.03762201539087546,2.7784838898501494e-05
direct,116,0.8049180812562936,0.17156918996107656,0.023359913745384916,0.00015281503724508242
practical,117,0.887376920808688,0.09026790314350766,0.022303157294614562,5.201875318983587e-05
chiefly,118,0.8226918090504493,0.12250473451733779,0.05357953166109258,0.0012239247711204348
natural,119,0.9187642446471082,0.046317237520099884,0.03423905005539168,0.0006794677774003433
history,120,0.8286465642037144,0.11859288474737421,0.052568615744313416,0.0001919353045980104
having,121,0.6971040653709426,0.25399417292426,0.04816661498516321,0.00073514671963411
course,122,0.8467201218414656,0.10494684537229648,0.04805609679204646,0.00027693599419141226
past,123,0.6591914719135953,0.2638336522002089,0.07670440083614156,0.0002704750500541551
year,124,0.6372238787537741,0.27444771020692543,0.08818500953210287,0.0001434015071976961
laid,125,0.7140336082246143,0.18153453126445168,0.10436480688830067,6.705362263345904e-05
foundational,126,0.9613433627861626,0.029823953101307567,0.008768959646155906,6.372446637383552e-05
element,127,0.9571936246098988,0.029526500775739907,0.012760696881655004,0.0005191777327063927
art,128,0.7874327988804422,0.10157902947625524,0.1107898772370983,0.00019829440620435692
sufficiently,129,0.8651013924705415,0.1187068265547049,0.01615732633120042,3.4454643553117906e-05
invite,130,0.4427728515988198,0.5201973895563724,0.03701930267887052,1.0456165937253826e-05
enter,131,0.6044312913019884,0.3463834360132654,0.048768159969759445,0.0004171127149868757
real,132,0.8387697706406938,0.1233018998349825,0.03773943317979373,0.00018889634452990973
work,133,0.8348330157164257,0.13025017722873142,0.03486255344665847,5.4253608184389085e-05
accordingly,134,0.8568519741757613,0.1290709861329483,0.013987585087847807,8.945460344245551e-05
propose,135,0.8694724162887816,0.12296079983070178,0.007534474123460699,3.230975705582579e-05
following,136,0.8272615473498155,0.13670465037596793,0.036022697129141,1.1105145075622323e-05
term,137,0.9418883923863057,0.045915178828197116,0.011752062325839896,0.00044436645965722306
give,138,0.7554768920610168,0.2206590306318534,0.023793540813161086,7.053649396863279e-05
practical,139,0.955232580696814,0.032981482206197385,0.011755453768551982,3.0483328436590942e-05
leading,140,0.8505036163680261,0.11590700526826493,0.033569289937687784,2.008842602105185e-05
elementary,141,0.9361388587278562,0.034547991266261395,0.028876647864791914,0.0004365021410904405
